Species,family ,status ,life_form
solenogyne_dominii,Asteraceae,Native,Hemicryptophyte
stackhousia_subterranea,Celastraceae,Native,Hemicryptophyte
thelymitra_gregaria,Orchidaceae,Native,Geophyte
thelymitra_pauciflora,Orchidaceae,Native,Geophyte
themeda_triandra,Poaceae,Native,Hemicryptophyte
thysanotus_patersonii,Asparagaceae,Native,Geophyte
tricoryne_elatior,Asphodelaceae,Native,Hemicryptophyte
wahlenbergia_gracilenta,Campanulaceae,Native,Hemicryptophyte
wahlenbergia_gracilis,Campanulaceae,Native,Hemicryptophyte
wahlenbergia_luteola,Campanulaceae,Native,Hemicryptophyte
wahlenbergia_multicaulis,Campanulaceae,Native,Hemicryptophyte
wurmbea_dioica,Colchicaceae,Native,Geophyte
aira_cupaniana,Poaceae,Exotic,Therophyte
aira_elegantissima,Poaceae,Exotic,Therophyte
anthoxanthum_odoratum,Poaceae,Exotic,Hemicryptophyte
avena_barbata,Poaceae,Exotic,Therophyte
bellardia_latifolia,Orobanchaceae,Exotic,Therophyte
briza_maxima,Poaceae,Exotic,Therophyte
briza_minor,Poaceae,Exotic,Therophyte
bromus_hordeaceus,Poaceae,Exotic,Therophyte
centaurium_erythraea,Gentianaceae,Exotic,Therophyte
cerastium_glomeratum,Caryophyllaceae,Exotic,Therophyte
cicendia_filiformis,Gentianaceae,Exotic,Therophyte
cynosurus_echinatus,Poaceae,Exotic,Therophyte
dactylis_glomerata,Poaceae,Exotic,Hemicryptophyte
disa_bracteata,Orchidaceae,Exotic,Geophyte
erodium_botrys,Geraniaceae,Exotic,Therophyte
holcus_lanatus,Poaceae,Exotic,Hemicryptophyte
hypochaeris_radicata,Asteraceae,Exotic,Hemicryptophyte
Isolepis_hystrix,Cyperaceae,Exotic,Therophyte
Isolepis_levynsiana,Cyperaceae,Exotic,Therophyte
juncus_bufonius,Juncaceae,Exotic,Therophyte
juncus_capitatus,Juncaceae,Exotic,Therophyte
lolium_rigidum,Poaceae,Exotic,Therophyte
phalaris_aquatica,Poaceae,Exotic,Hemicryptophyte
romulea_rosea,Iridaceae,Exotic,Geophyte
rumex_conglomeratus,Polygonaceae,Exotic,Hemicryptophyte
sebaea_ovata,Gentianaceae,Native,Therophyte
sonchus_oleraceus,Asteraceae,Exotic,Therophyte
trifolium_arvense,Fabaceae,Exotic,Therophyte
trifolium_dubium,Fabaceae,Exotic,Therophyte
trifolium_subterraneum,Fabaceae,Exotic,Therophyte
vulpia_bromoides,Poaceae,Exotic,Therophyte
